City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Melfi,IT,40.9965,15.6514,48.0,100,90,13.8,fog
201,Ulvik,NO,60.5672,6.9187,12.2,62,0,2.3,clear sky
202,Baruun-Urt,MN,46.6806,113.2792,-2.04,86,91,8.75,overcast clouds
203,Kabanjahe,ID,3.1001,98.4908,78.8,100,40,5.75,mist
204,Eyl,SO,7.9803,49.8164,75.78,79,0,18.54,clear sky
205,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,75,19.57,snow
206,Kachiry,KZ,53.0675,76.1036,12.54,93,0,15.46,clear sky
207,Yar-Sale,RU,66.8333,70.8333,-11.47,90,100,24.81,light snow
208,Carutapera,BR,-1.195,-46.02,84.61,67,54,9.57,broken clouds
209,Najran,SA,17.4924,44.1277,68.0,34,91,4.23,overcast clouds
210,Broken Hill,AU,-31.95,141.4333,62.6,48,0,8.05,clear sky
211,Nome,US,64.5011,-165.4064,-5.8,84,1,5.82,clear sky
212,Upernavik,GL,72.7868,-56.1549,18.46,79,7,3.33,clear sky
213,Sambava,MG,-14.2667,50.1667,78.84,80,100,1.14,light rain
214,Palestine,PS,31.9216,35.2033,60.01,88,0,2.3,clear sky
215,Virginia Beach,US,36.8529,-75.978,39.99,98,100,5.01,overcast clouds
216,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,5.75,clear sky
217,Krasnoselkup,RU,65.7,82.4667,9.01,95,95,15.95,light snow
218,Antalaha,MG,-14.9003,50.2788,77.81,83,98,2.35,light rain
219,Balykshi,KZ,47.0667,51.8667,12.2,73,0,8.95,clear sky
220,Kavieng,PG,-2.5744,150.7967,82.63,76,44,8.46,scattered clouds
221,Padang,ID,-0.9492,100.3543,78.8,83,20,5.75,light rain
222,Muravlenko,RU,63.7898,74.523,17.69,96,100,18.61,overcast clouds
223,Oktyabrskoye,RU,43.0645,44.7417,26.6,100,80,8.95,broken clouds
224,Dali,CN,25.7,100.1833,42.55,82,70,1.5,broken clouds
225,Egvekinot,RU,66.3167,-179.1667,-9.83,81,0,14.9,clear sky
226,Ancud,CL,-41.8697,-73.8203,80.6,34,0,6.91,clear sky
227,High Level,CA,58.5169,-117.136,-29.2,68,75,3.44,broken clouds
228,Santa Cruz De Tenerife,ES,28.4682,-16.2546,63.0,94,75,12.66,broken clouds
229,Tari,NG,12.4086,4.4914,83.77,18,100,9.82,overcast clouds
230,Carlsbad,US,33.1581,-117.3506,66.0,82,1,8.05,clear sky
231,Ishurdi,BD,24.1333,89.0833,60.62,48,0,7.9,clear sky
232,Caravelas,BR,-17.7125,-39.2481,79.97,85,100,10.13,light rain
233,Mponela,MW,-13.5319,33.7401,65.52,93,100,4.47,overcast clouds
234,Saint Anthony,US,45.0205,-93.218,-5.01,54,1,10.36,clear sky
235,Krasnovishersk,RU,60.4078,57.082,-18.18,86,100,6.58,light snow
236,Ostrovnoy,RU,68.0531,39.5131,6.89,93,100,5.91,light snow
237,Mathathane,BW,-22.2687,28.7495,77.45,60,68,7.65,broken clouds
238,Harstad,NO,68.799,16.5293,30.2,69,75,8.05,light snow
239,Ayorou,NE,14.7308,0.9174,84.06,14,75,8.48,broken clouds
240,Aklavik,CA,68.2191,-135.0107,-13.0,64,90,13.8,snow
241,Peniche,PT,39.3558,-9.3811,57.0,92,100,21.99,overcast clouds
242,Tuzamapan,MX,19.4,-96.85,74.95,64,59,6.17,broken clouds
243,Guerrero Negro,MX,27.9769,-114.0611,73.76,21,0,3.89,clear sky
244,Mount Isa,AU,-20.7333,139.5,78.8,94,40,8.05,scattered clouds
245,La Vista,US,41.1839,-96.0311,8.01,61,90,9.22,light snow
246,Ust-Omchug,RU,61.15,149.6333,0.63,89,99,11.03,overcast clouds
247,Itarema,BR,-2.9248,-39.9167,85.75,64,0,15.84,clear sky
248,Port-Gentil,GA,-0.7193,8.7815,80.6,83,40,8.61,moderate rain
249,Maceio,BR,-9.6658,-35.7353,87.8,62,40,14.97,scattered clouds
250,Trincomalee,LK,8.5711,81.2335,79.2,84,16,17.0,few clouds
251,Calama,CL,-22.4667,-68.9333,73.4,33,0,26.46,clear sky
252,High Rock,BS,26.6208,-78.2833,78.8,83,75,13.8,broken clouds
253,Buchanan,LR,5.8808,-10.0467,82.4,78,20,3.44,few clouds
254,Vardo,NO,70.3705,31.1107,23.0,86,75,32.21,snow
255,Verkhnevilyuysk,RU,63.4453,120.3167,-10.34,87,100,9.57,overcast clouds
256,Anadyr,RU,64.75,177.4833,10.4,40,0,11.18,clear sky
257,Inhambane,MZ,-23.865,35.3833,82.4,74,20,4.61,light rain
258,Verkh-Suetka,RU,53.3,80.05,15.31,94,0,14.2,clear sky
259,Mokhotlong,LS,-29.2894,29.0675,58.17,72,78,2.68,light rain
260,Katobu,ID,-4.9408,122.5276,75.58,93,75,0.81,broken clouds
261,Chipinge,ZW,-20.1883,32.6236,65.48,96,45,4.12,scattered clouds
262,Namikupa,TZ,-10.8333,39.6,74.14,96,100,4.65,overcast clouds
263,Flinders,AU,-34.5833,150.8552,66.0,82,53,1.99,broken clouds
264,Port Hawkesbury,CA,45.6169,-61.3485,30.99,46,75,6.91,broken clouds
265,Quimper,FR,48.0,-4.1,41.0,81,0,8.05,clear sky
266,Oranjestad,AW,12.524,-70.027,84.2,65,40,18.41,scattered clouds
267,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,0,5.75,clear sky
268,Funtua,NG,11.5233,7.3081,72.36,19,0,8.81,clear sky
269,Bambanglipuro,ID,-7.95,110.2833,76.12,90,100,4.81,moderate rain
270,Nanortalik,GL,60.1432,-45.2371,30.79,88,100,13.13,overcast clouds
271,Coacotla,MX,17.9333,-94.675,80.6,65,75,23.02,broken clouds
272,Sucua,EC,-2.4667,-78.1667,82.4,44,40,5.75,light rain
273,Kamenka,RU,51.3223,42.7678,-5.82,91,1,9.44,clear sky
274,Namatanai,PG,-3.6667,152.4333,80.17,80,100,4.43,light rain
275,Vao,NC,-22.6667,167.4833,77.05,85,85,1.1,overcast clouds
276,Konnur,IN,16.2,74.75,69.53,32,0,5.64,clear sky
277,Sao Filipe,CV,14.8961,-24.4956,71.11,70,100,10.29,overcast clouds
278,Axim,GH,4.8699,-2.2405,80.47,85,100,9.37,overcast clouds
279,San Policarpo,PH,12.1791,125.5072,79.97,84,100,18.63,moderate rain
280,Matamoros,MX,25.5333,-103.25,66.2,11,75,1.7,broken clouds
281,Pangnirtung,CA,66.1451,-65.7125,33.8,37,20,11.5,few clouds
282,Aguilas,ES,37.4063,-1.5829,61.0,60,2,14.0,clear sky
283,Dawei,MM,14.0833,98.2,70.93,71,0,2.62,clear sky
284,Itainopolis,BR,-7.4469,-41.4783,93.07,39,49,3.44,scattered clouds
285,Whitehorse,CA,60.7161,-135.0538,-9.4,77,90,2.04,light snow
286,Nemuro,JP,43.3236,145.575,14.04,87,0,10.85,clear sky
287,Karasuk,RU,53.7377,78.0403,12.22,93,0,17.38,clear sky
288,Cancun,MX,21.1743,-86.8466,84.0,82,19,10.0,few clouds
289,Tigil,RU,57.8,158.6667,27.72,92,11,20.69,few clouds
290,Maralal,KE,1.0968,36.698,63.09,79,88,4.92,light rain
291,Bemidji,US,47.4736,-94.8803,-11.99,58,1,13.8,clear sky
292,Tromso,NO,69.6496,18.957,26.6,74,75,8.05,light snow
293,Tortoli,IT,39.9256,9.6572,57.2,62,0,18.41,clear sky
294,Cockburn Town,TC,21.4612,-71.1419,80.6,74,40,14.97,scattered clouds
295,Toora-Khem,RU,52.4675,96.11,8.4,92,100,2.62,overcast clouds
