City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Tupancireta,BR,80.4,clear sky,-29.0806,-53.8358,Hotel Cassino
491,Port Blair,IN,78.64,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
496,Ternate,ID,80.87,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
499,Beruwala,LK,75.99,clear sky,6.4788,79.9828,The Palms Hotel
506,Abong Mbang,CM,77.99,overcast clouds,3.9833,13.1833,Auberge Angle Sur
508,Mitu,CO,89.08,overcast clouds,1.1983,-70.1733,
511,Nosy Varika,MG,80.78,overcast clouds,-20.5833,48.5333,Hotel Volazara
513,Kuching,MY,75.2,scattered clouds,1.55,110.3333,Hilton Kuching
514,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
515,Yeppoon,AU,78.8,clear sky,-23.1333,150.7333,Villa Mar Colina
519,La Libertad,EC,82.4,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
522,Gemena,CD,80.01,overcast clouds,3.25,19.7667,Hôtel Goshen
524,Jawhar,SO,75.96,clear sky,2.7809,45.5005,cosoble spare parts
525,Maragogi,BR,82.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
533,Alibag,IN,78.8,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
534,Alofi,NU,78.8,overcast clouds,-19.0595,-169.9187,Taloa Heights
538,Binga,ZW,75.36,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
539,Kieta,PG,79.88,light rain,-6.2167,155.6333,
543,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
544,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
547,Yuli,NG,81.18,overcast clouds,9.6989,10.2744,
555,Beloha,MG,76.06,clear sky,-25.1667,45.05,
556,Bataipora,BR,82.85,scattered clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
